Year,List of Organizations
2021,https://summerofcode.withgoogle.com/archive/2021/organizations/
2020,https://summerofcode.withgoogle.com/archive/2020/organizations/
2019,https://summerofcode.withgoogle.com/archive/2019/organizations/
2018,https://summerofcode.withgoogle.com/archive/2018/organizations/
2017,https://summerofcode.withgoogle.com/archive/2017/organizations/
2016,https://summerofcode.withgoogle.com/archive/2016/organizations/
2015,https://www.google-melange.com/archive/gsoc/2015
2014,https://www.google-melange.com/archive/gsoc/2014
2013,https://www.google-melange.com/archive/gsoc/2013
2012,https://www.google-melange.com/archive/gsoc/2012
2011,https://www.google-melange.com/archive/gsoc/2011
2010,https://www.google-melange.com/archive/gsoc/2010
2009,https://www.google-melange.com/archive/gsoc/2009
