Organization,Number of Projects in 2019
Python Software Foundation,30
R project for statistical computing,30
CERN-HSF,29
SCoRe Lab (Sustainable Computing Research Lab),27
KDE Community,22
NumFOCUS,19
TensorFlow,19
AOSSIE - Australian Open Source Software Innovation and Education,18
INCF,17
The Apache Software Foundation,17
Zulip Open Source Project,17
The Processing Foundation,16
Cloud Native Computing Foundation (CNCF),15
Haskell.Org,15
Red Hen Lab,15
Rocket.Chat,15
FOSSASIA,14
Mozilla,14
The Mifos Initiative,14
Open Technologies Aliance - GFOSS,13
The Julia Language,13
OWASP Foundation,12
OpenMRS,12
Public Lab,12
Boost C++,11
National Resource for Network Biology (NRNB),11
Wikimedia Foundation,11
Apertium,10
CCExtractor Development,10
RoboComp,10
SymPy,10
The Eclipse Foundation,10
coala,10
freifunk,10
CGAL project,9
Catrobat,9
Open Astronomy,9
The Honeynet Project,9
The Terasology Foundation,9
VideoLAN,9
mlpack,9
BRL-CAD,8
GNOME,8
Godot Engine,8
JBoss Community,8
LLVM Compiler Infrastructure,8
OpenCV,8
SPDX (Software Product Data Exchange),8
Sugar Labs,8
AerospaceResearch.net,7
Amahi,7
Blender Foundation,7
Free and Open Source Silicon Foundation,7
Liquid Galaxy project,7
OSGeo,7
Open Source Robotics Foundation,7
Pharo Consortium,7
The Linux Foundation,7
The NetBSD Foundation,7
DBpedia,6
FFmpeg,6
FreeBSD,6
GNU Compiler Collection,6
InterMine,6
JdeRobot - Universidad Rey Juan Carlos,6
LibreOffice,6
MetaBrainz Foundation Inc,6
Open Chemistry,6
The Java Pathfinder Team,6
cBioPortal for Cancer Genomics,6
Ardupilot.org,5
Checker Framework,5
Computational Biology @ University of Nebraska-Lincoln,5
Creative Commons,5
Cuneiform Digital Library Initiative (CDLI),5
D Programming Language,5
Debian,5
Fedora Project,5
Global Alliance for Genomics and Health,5
Jenkins project,5
LabLua,5
Open Bioinformatics Foundation,5
OpenStreetMap,5
Ruby,5
The GNU Project,5
"Biomedical Informatics, Emory University",4
CHAOSS,4
"CLiPS, University of Antwerp",4
Canadian Center for Computational Genomics,4
Center for Research in Open Source Software at UC Santa Cruz,4
Chapel,4
CloudCV,4
MIT App Inventor,4
MacPorts,4
MariaDB Foundation,4
Matrix.org,4
MuseScore,4
Oppia Foundation,4
PostgreSQL,4
RTEMS Project,4
SageMath,4
Submitty,4
The Perl Foundation,4
The ns-3 Network Simulator Project,4
aimacode,4
apertus° Association,4
AboutCode.org,3
BeagleBoard.org,3
Berkman Klein Center for Internet and Society,3
CBMI@UTHSC,3
CircuitVerse.org,3
Developers Italia,3
Digital Impact Alliance,3
FOSSology Project,3
FreeType,3
GNSS-SDR,3
"Genes, Genomes and Variation",3
Joomla,3
Libvirt,3
Netfilter project,3
Open Roberta,3
Pitivi,3
QEMU,3
ScummVM,3
Software Heritage,3
XMPP Standards Foundation (XSF),3
XWiki,3
Xapian Search Engine Library,3
coreboot,3
52°North Initiative for Geospatial Open Source Software GmbH,2
Android Graphics Tools Team,2
Bazel,2
CiviCRM,2
Django Software Foundation,2
Drupal,2
Earth Science Information Partners,2
FOSDEM,2
FrameNet Brasil at the Federal University of Juiz de Fora,2
GENIVI Alliance,2
GNU Radio,2
Gentoo Foundation,2
Git,2
Hydra Ecosystem,2
Intel Media And Audio For Linux,2
Internet Archive,2
KNIME,2
Kiwix,2
Libre Space Foundation,2
Linkerd,2
LuaRocks,2
Moodle,2
Named Data Networking Project,2
Neovim,2
Open Data Kit,2
OpenWISP,2
PEcAn Project,2
Percona,2
Performance Co-Pilot,2
Project PANOPTES,2
ReactOS,2
Read the Docs,2
Ruby Science Foundation,2
Salesforce,2
Software and Computational Systems Lab at LMU Munich,2
Synfig,2
The Vega Project at the University of Washington,2
X.Org Foundation,2
appleseedhq,2
gprMax,2
phpMyAdmin,2
strace,2
syslog-ng,2
webpack,2
API Client Tools at Google,1
Buildroot,1
CRIU (Checkpoint/Restore in User-space),1
GNU Mailman,1
Haiku,1
Inkscape,1
Institut für Angewandte Informatik (InfAI) e.V.,1
Internet Systems Consortium,1
JabRef,1
Kapitan,1
Kodi Foundation,1
MBDyn - Multibody Dynamics,1
Moira,1
NV Access,1
Purr Data,1
Samba,1
Swift,1
SymbiFlow,1
The Center for Connected Learning and Computer-Based Modeling,1
The Libreswan Project,1
The Postgres Operator,1
Tokio,1
Tungsten Fabric,1
UCSC Xena,1
Xi Editor,1
ZynAddSubFX,1
shogun.ml,1
GNU Octave,0
JSK Robotics Laboratory / The University of Tokyo,0
LibreHealth,0
The Wine Project,0
TimVideos.us,0
xpra,0
