Organization,Years in GSoC,Total
OpenMRS,"2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009",12
Python Software Foundation,"2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009",12
RTEMS Project,"2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009",12
BRL CAD,"2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2009",11
Blender Foundation,"2020, 2019, 2018, 2017, 2016, 2014, 2013, 2012, 2011, 2010, 2009",11
Django Software Foundation,"2020, 2019, 2018, 2017, 2016, 2014, 2013, 2012, 2011, 2010, 2009",11
Drupal,"2020, 2019, 2018, 2017, 2016, 2015, 2014, 2012, 2011, 2010, 2009",11
GNOME,"2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2010, 2009",11
Inkscape,"2020, 2019, 2018, 2017, 2016, 2014, 2013, 2012, 2011, 2010, 2009",11
ScummVM,"2020, 2019, 2018, 2017, 2016, 2014, 2013, 2012, 2011, 2010, 2009",11
The Honeynet Project,"2020, 2019, 2018, 2017, 2016, 2015, 2013, 2012, 2011, 2010, 2009",11
The Linux Foundation,"2020, 2019, 2018, 2017, 2016, 2014, 2013, 2012, 2011, 2010, 2009",11
Gentoo Foundation,"2020, 2019, 2018, 2017, 2016, 2014, 2013, 2012, 2011, 2010",10
Git,"2020, 2019, 2018, 2017, 2016, 2015, 2014, 2012, 2011, 2010",10
LibreOffice,"2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011",10
Moodle,"2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2009",10
Mozilla,"2020, 2019, 2018, 2017, 2016, 2014, 2013, 2012, 2011, 2010",10
OpenStreetMap,"2020, 2019, 2018, 2017, 2016, 2015, 2012, 2011, 2010, 2009",10
The ns 3 Network Simulator Project,"2020, 2019, 2018, 2017, 2015, 2014, 2013, 2012, 2010, 2009",10
Wikimedia Foundation,"2020, 2019, 2018, 2017, 2016, 2015, 2012, 2011, 2010, 2009",10
Apache Software Foundation,"2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010",9
Apertium,"2020, 2019, 2018, 2017, 2014, 2013, 2012, 2011, 2010",9
FreeBSD,"2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011",9
Haiku,"2020, 2019, 2018, 2017, 2014, 2012, 2011, 2010, 2009",9
JBoss Community,"2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012",9
KDE,"2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009",9
MetaBrainz Foundation Inc ,"2020, 2018, 2017, 2015, 2014, 2013, 2012, 2011, 2010",9
Nmap Security Scanner,"2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009",9
Portland State University,"2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009",9
Samba,"2020, 2019, 2017, 2014, 2013, 2012, 2011, 2010, 2009",9
Sugar Labs,"2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2010",9
SymPy,"2020, 2019, 2018, 2017, 2016, 2014, 2013, 2012, 2011",9
The NetBSD Foundation,"2020, 2019, 2018, 2017, 2016, 2013, 2012, 2011, 2010",9
The Wine Project,"2020, 2019, 2018, 2017, 2016, 2015, 2014, 2010, 2009",9
coreboot,"2020, 2019, 2016, 2015, 2014, 2013, 2011, 2010, 2009",9
phpMyAdmin,"2019, 2018, 2017, 2015, 2014, 2013, 2012, 2011, 2010",9
52 North Initiative for Geospatial Open Source Software GmbH,"2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012",8
FFmpeg,"2020, 2019, 2018, 2017, 2016, 2015, 2010, 2009",8
FOSSASIA,"2019, 2018, 2017, 2016, 2015, 2014, 2012, 2011",8
LLVM Compiler Infrastructure,"2019, 2018, 2017, 2015, 2014, 2013, 2010, 2009",8
National Resource for Network Biology NRNB ,"2020, 2019, 2018, 2017, 2016, 2014, 2013, 2012",8
Open Bioinformatics Foundation,"2019, 2018, 2017, 2016, 2014, 2012, 2011, 2010",8
The Eclipse Foundation,"2019, 2018, 2017, 2015, 2014, 2013, 2012, 2011",8
The Java Pathfinder Team,"2020, 2019, 2018, 2017, 2013, 2012, 2011, 2010",8
X Org Foundation,"2020, 2019, 2017, 2016, 2015, 2014, 2013, 2011",8
XWiki,"2020, 2019, 2018, 2017, 2016, 2012, 2011, 2009",8
Xapian Search Engine Library,"2020, 2019, 2018, 2017, 2016, 2014, 2012, 2011",8
BeagleBoard org,"2020, 2019, 2016, 2015, 2014, 2013, 2010",7
Boost C Libraries,"2018, 2017, 2015, 2014, 2013, 2011, 2010",7
Debian Project,"2018, 2016, 2015, 2014, 2013, 2011, 2010",7
GNSS SDR,"2020, 2019, 2018, 2017, 2015, 2014, 2013",7
GNU Project,"2018, 2016, 2015, 2014, 2013, 2012, 2009",7
GNU Radio,"2020, 2019, 2018, 2017, 2016, 2014, 2013",7
Inclusive Design Institute,"2020, 2018, 2016, 2014, 2013, 2012, 2010",7
LabLua,"2020, 2019, 2018, 2017, 2016, 2015, 2014",7
Liquid Galaxy Project,"2017, 2016, 2015, 2014, 2013, 2012, 2011",7
Mono Project,"2017, 2015, 2014, 2013, 2012, 2011, 2009",7
MuseScore,"2020, 2019, 2018, 2017, 2016, 2014, 2013",7
Open Source Robotics Foundation,"2020, 2019, 2018, 2016, 2015, 2014, 2013",7
Plone Foundation,"2017, 2016, 2014, 2013, 2011, 2010, 2009",7
QEMU,"2020, 2019, 2018, 2017, 2016, 2015, 2014",7
Sage Mathematical Software System,"2018, 2017, 2016, 2015, 2014, 2013, 2012",7
The MacPorts Project,"2018, 2017, 2015, 2014, 2011, 2010, 2009",7
VideoLAN,"2020, 2019, 2018, 2017, 2011, 2010, 2009",7
haskell org,"2015, 2014, 2013, 2012, 2011, 2010, 2009",7
strace,"2020, 2019, 2018, 2017, 2016, 2015, 2014",7
ASCEND,"2016, 2015, 2012, 2011, 2010, 2009",6
CloudCV,"2020, 2019, 2018, 2017, 2016, 2015",6
Creative Commons,"2020, 2019, 2013, 2012, 2010, 2009",6
Crystal Space,"2014, 2013, 2012, 2011, 2010, 2009",6
GNU Octave,"2020, 2019, 2018, 2017, 2016, 2014",6
International Neuroinformatics Coordinating Facility,"2016, 2015, 2014, 2013, 2012, 2011",6
Melange,"2014, 2013, 2012, 2011, 2010, 2009",6
Mixxx DJ Software,"2018, 2017, 2016, 2014, 2013, 2012",6
NumFOCUS,"2020, 2019, 2018, 2017, 2016, 2015",6
OWASP Foundation,"2020, 2019, 2018, 2016, 2014, 2012",6
ReactOS,"2020, 2019, 2018, 2017, 2016, 2011",6
Red Hen Lab,"2020, 2019, 2018, 2017, 2016, 2015",6
RoboComp,"2020, 2019, 2018, 2017, 2015, 2013",6
Ruby Science Foundation,"2019, 2018, 2017, 2016, 2015, 2013",6
Ruby on Rails,"2018, 2017, 2015, 2014, 2013, 2009",6
WorldForge,"2014, 2013, 2012, 2011, 2010, 2009",6
XMPP Standards Foundation,"2020, 2017, 2015, 2012, 2011, 2010",6
openSUSE,"2018, 2017, 2016, 2014, 2013, 2012",6
Amahi,"2020, 2019, 2018, 2017, 2014",5
CCExtractor Development,"2020, 2019, 2018, 2017, 2016",5
CERN SFT,"2016, 2015, 2014, 2013, 2012",5
Catrobat,"2020, 2019, 2018, 2017, 2016",5
CiviCRM,"2020, 2019, 2016, 2015, 2014",5
Computational Science and Engineering at TU Wien,"2016, 2014, 2013, 2012, 2011",5
DragonFly BSD,"2013, 2012, 2011, 2010, 2009",5
Fedora Project,"2020, 2019, 2018, 2017, 2016",5
Free and Open Source Silicon Foundation,"2020, 2019, 2018, 2017, 2016",5
Freenet Project Inc,"2014, 2013, 2012, 2011, 2010",5
Freifunk,"2017, 2016, 2014, 2010, 2009",5
Google Open Source Programs Office,"2014, 2013, 2012, 2011, 2010",5
JdeRobot Universidad Rey Juan Carlos,"2020, 2019, 2018, 2017, 2015",5
MariaDB,"2017, 2016, 2015, 2014, 2013",5
OSGeo Open Source Geospatial Foundation,"2015, 2014, 2012, 2011, 2010",5
Open Chemistry,"2020, 2019, 2018, 2017, 2016",5
Open Source Computer Vision Library OpenCV ,"2015, 2014, 2013, 2012, 2011",5
Oppia Foundation,"2020, 2019, 2018, 2017, 2016",5
Oregon State University Open Source Lab OSUOSL ,"2015, 2014, 2013, 2012, 2011",5
Performance Co Pilot,"2020, 2019, 2018, 2017, 2016",5
Pidgin Finch and libpurple,"2015, 2013, 2012, 2010, 2009",5
Plan 9 from Bell Labs,"2014, 2013, 2011, 2010, 2009",5
PostgreSQL,"2020, 2019, 2018, 2017, 2010",5
R project for statistical computing,"2019, 2018, 2017, 2016, 2012",5
Ruby,"2020, 2019, 2018, 2016, 2015",5
Sahana Software Foundation,"2014, 2013, 2012, 2011, 2010",5
Shogun Machine Learning Toolbox,"2017, 2016, 2014, 2013, 2012",5
Sigmah,"2017, 2016, 2014, 2013, 2012",5
TYPO3 Association,"2014, 2013, 2011, 2010, 2009",5
The Julia Language,"2020, 2019, 2017, 2016, 2014",5
The Perl Foundation,"2019, 2014, 2011, 2010, 2009",5
The Processing Foundation,"2019, 2018, 2017, 2015, 2014",5
TimVideos us,"2019, 2018, 2016, 2014, 2013",5
Tux4Kids,"2015, 2013, 2012, 2010, 2009",5
WordPress,"2014, 2013, 2011, 2010, 2009",5
phpBB Forum Software,"2018, 2017, 2014, 2013, 2012",5
wxWidgets,"2017, 2014, 2011, 2010, 2009",5
AerospaceResearch net,"2020, 2019, 2018, 2017",4
Battle for Wesnoth,"2014, 2013, 2010, 2009",4
Biomedical Informatics Emory University,"2019, 2016, 2015, 2014",4
BlueZ,"2012, 2011, 2010, 2009",4
Boston University XIA,"2018, 2017, 2016, 2015",4
Buildbot,"2015, 2014, 2013, 2011",4
CERN HSF,"2020, 2019, 2018, 2017",4
Chapel,"2020, 2019, 2017, 2016",4
Checker Framework,"2020, 2019, 2018, 2017",4
Clojure,"2017, 2015, 2014, 2013",4
Cloud Native Computing Foundation CNCF ,"2020, 2019, 2018, 2017",4
Computational Biology University of Nebraska Lincoln,"2019, 2018, 2017, 2016",4
Copyleft Games,"2017, 2016, 2015, 2014",4
DBpedia,"2020, 2019, 2018, 2017",4
GCC GNU Compiler Collection,"2015, 2014, 2013, 2012",4
GStreamer,"2012, 2011, 2010, 2009",4
Ganeti,"2016, 2015, 2014, 2013",4
Genes Genomes and Variation,"2019, 2018, 2017, 2016",4
Global Alliance for Genomics and Health,"2020, 2019, 2018, 2017",4
Homebrew,"2020, 2018, 2017, 2016",4
INCF,"2020, 2019, 2018, 2017",4
Institute for Artificial Intelligence,"2018, 2017, 2015, 2014",4
International GeoGebra Institute,"2015, 2012, 2011, 2010",4
Internet Archive,"2020, 2019, 2018, 2017",4
Joomla ,"2018, 2016, 2012, 2009",4
LibreHealth,"2020, 2019, 2018, 2017",4
Matrix org,"2019, 2018, 2017, 2016",4
MoinMoin Wiki,"2013, 2012, 2010, 2009",4
Netfilter project,"2019, 2018, 2017, 2016",4
OSGeo,"2020, 2019, 2018, 2017",4
OpenAstronomy,"2020, 2018, 2017, 2016",4
OpenCV,"2020, 2019, 2017, 2016",4
OpenImageIO,"2012, 2011, 2010, 2009",4
OpenWISP,"2020, 2019, 2018, 2017",4
P2PSP org,"2018, 2017, 2016, 2015",4
PEcAn Project,"2020, 2019, 2018, 2017",4
PostgreSQL Project,"2015, 2014, 2013, 2012",4
Public Lab,"2019, 2018, 2017, 2016",4
R Project for Statistical Computing,"2020, 2015, 2014, 2010",4
Review Board,"2012, 2011, 2010, 2009",4
Rocket Chat,"2020, 2019, 2018, 2017",4
Scala Team,"2015, 2014, 2013, 2012",4
Scilab,"2018, 2017, 2012, 2011",4
Simple DirectMedia Layer,"2013, 2011, 2010, 2009",4
Sustainable Computing Research Group SCoRe ,"2018, 2017, 2016, 2015",4
Systers an Anita Borg Institute Community,"2016, 2015, 2014, 2013",4
TEAMMATES National University of Singapore,"2018, 2017, 2016, 2015",4
The Center for Connected Learning and Computer Based Modeling,"2019, 2018, 2017, 2016",4
The Concord Consortium,"2015, 2014, 2013, 2012",4
The Fedora Project,"2015, 2013, 2012, 2011",4
The GNU Project,"2020, 2019, 2017, 2010",4
The Libreswan Project,"2020, 2019, 2018, 2017",4
WSO2,"2017, 2016, 2015, 2014",4
XBMC Foundation,"2018, 2017, 2015, 2012",4
aimacode,"2019, 2018, 2017, 2016",4
freifunk,"2019, 2018, 2012, 2011",4
lowRISC,"2020, 2017, 2016, 2015",4
mlpack,"2020, 2019, 2018, 2017",4
AOSSIE Australian Open Source Software Innovation and Education,"2019, 2018, 2017",3
AbiWord,"2011, 2010, 2009",3
ArduPilot,"2020, 2018, 2017",3
BEAM Community,"2015, 2014, 2013",3
Beam Community,"2018, 2017, 2016",3
Benetech,"2014, 2013, 2012",3
BuildmLearn,"2016, 2015, 2014",3
CLiPS University of Antwerp,"2019, 2018, 2017",3
Catroid Project,"2013, 2012, 2011",3
Ceph,"2017, 2016, 2014",3
Checkstyle,"2020, 2017, 2014",3
Chromium,"2013, 2010, 2009",3
Classical Language Toolkit,"2018, 2017, 2016",3
Code for America,"2013, 2012, 2011",3
DBpedia DBpedia Spotlight,"2015, 2014, 2013",3
Debian,"2020, 2019, 2009",3
Drizzle,"2012, 2011, 2010",3
Eclipse Foundation,"2020, 2016, 2009",3
Etherboot Project,"2011, 2010, 2009",3
FreeType,"2020, 2019, 2018",3
GNU Image Manipulation Program,"2013, 2011, 2009",3
GNU Mailman,"2019, 2016, 2015",3
Genome Informatics,"2013, 2012, 2011",3
Gephi Consortium,"2013, 2012, 2011",3
Godot Engine,"2020, 2019, 2018",3
Health Information Systems Programme,"2016, 2014, 2013",3
HelenOS group at Department of Distributed and Dependable Systems Charles University in Prague,"2014, 2012, 2011",3
